"","applicantId","total","disasterNumber","state","applicantName","addressLine1","addressLine2","city","zipCode","hash","lastRefresh","id"
"27","119-UTBGN-00",178827.11,4441,"Arkansas","LITTLE ROCK WATER RECLAMATION AUTHORITY","11 Clearwater Dr",NA,"Little Rock","72204-0000","37c76857ca26f56b331461652b27f6c4",2019-12-18 20:33:02,"5dfa8cfe44d9812d16064735"
"28","119-99119-00",176022.3,4441,"Arkansas","PULASKI (COUNTY)","201 South Broadway",NA,"Little Rock","72201-0000","de6fb6d6c55a465effb5ca45757097c1",2020-01-15 20:35:07,"5e1f777b90d4f74386d6ab63"
"29","033-UXWLG-00",172726.24,4441,"Arkansas","CITY OF VAN BUREN MUNICIPAL UTILITIES","2806 Bryan Road",NA,"Van Buren","72956-0000","fd924f8fd369903ab9f8ccd6ce6e3160",2019-10-12 19:33:32,"5da22a8cc39eed63acf7c092"
"30","131-99131-00",157738.56,4441,"Arkansas","SEBASTIAN (COUNTY)","35 South 6th Street",NA,"Fort Smith","72901-0000","6dfbe8064279809bf28e5eb26856266a",2019-11-04 12:18:13,"5dc0170546885142ca187478"
"31","033-71480-00",140376.57,4441,"Arkansas","VAN BUREN","1003 Broadway",NA,"Van Buren","72956-0000","f587462948b3f3888a0158b0ab468f7b",2019-10-10 19:42:10,"5d9ce4512c329b6f980466ea"
"32","045-15190-00",140049.15,4441,"Arkansas","CONWAY","1401 Caldwell St",NA,"Conway","72034-0000","3f44ed084ee5402224da37a54433eac9",2019-11-18 20:51:47,"5dd304638ca22d24d418a039"
"33","000-U0414-00",115614.07,4441,"Arkansas","ARKANSAS DEPARTMENT OF PARKS AND TOURISM","1 Capitol Mall",NA,"Little Rock","72201-0000","7220ce30297b099b5f0e668da58c7ef6",2019-12-10 20:33:35,"5df0011f44d9812d16e81fa0"
"34","069-UK5YG-00",107178.66,4441,"Arkansas","PLUM BAYOU LEVEE DISTRICT","3808 North Gilland Rd",NA,"Altheimer","72004-0000","f7ecd7124a66faae2b1ec405d47e44b3",2019-10-12 19:33:32,"5da22a8cc39eed63acf7c090"
"35","029-52430-00",102040.18,4441,"Arkansas","OPPELO","8 Municipal Drive",NA,"Oppelo","72110-0000","ff700547104ded453ef1f560305040a3",2019-11-18 20:51:47,"5dd304638ca22d24d418a037"
"36","047-52970-00",95863.41,4441,"Arkansas","OZARK","2910 W Commercial Street",NA,"Ozark","72949-0000","5ef53d746d7efe987a207cbbb1f39431",2019-11-09 20:33:17,"5dc7228d8ca22d24d4f43b69"
"37","069-USH7T-00",95492.88,4441,"Arkansas","TUCKER LAKE LEVEE DRAINAGE DISTRICT","Murdock Road",NA,"Pine Bluff","71603-0000","6c42ad7737581fa20f6ca8acd252eafe",2019-11-04 12:18:13,"5dc0170546885142ca187479"
"38","000-U94V2-00",83402.56,4441,"Arkansas","ARKANSAS AGRICULTURE DEPARTMENT","1 Natural Resources Drive",NA,"Little Rock","72205-0000","598673861c767e1272aa040de1069623",2019-12-05 20:33:54,"5de969b2711e242dc8b4484a"
"39","119-UW47A-00",81021.62,4441,"Arkansas","FOURCHE ISLAND DRAINAGE DISTRICT NO. 2","10600 Industrial Harbor",NA,"Little Rock","72206-0000","6cb4cb8d311abe57950c87572c264ae6",2020-01-09 15:32:40,"5e17479809e7c62f74dbdeb0"
"40","083-05C58-00",75000,4441,"Arkansas","NEW BLAINE FIRE DEPT","9 HWY 197 Loop",NA,"New Blaine","72851-0000","b83ae7bc564ed724f1c1ef84f87342c8",2019-11-18 20:51:47,"5dd304638ca22d24d418a036"
"41","033-48200-00",74557.2,4441,"Arkansas","MULBERRY","207 N. Main Street",NA,"Mulberry","72947-0000","2ee7b79e0bccb966bc386557a839a624",2020-03-04 20:33:59,"5e6010b79fec19281363e694"
"42","105-54710-00",66347.78,4441,"Arkansas","PERRYVILLE","613 Fourche",NA,"Perryville","72125-0000","163631fdf7ba4632f2a9c3598c1bc935",2019-12-05 20:33:54,"5de969b2711e242dc8b44847"
"43","149-00FED-00",62862.1,4441,"Arkansas","NORTHEAST YELL CO WATER ASSN","2443 State Highway 22 West",NA,"Daranelle","72834-0000","253cd11308e764fa86e772f28bfe1f22",2020-03-04 20:33:59,"5e6010b79fec19281363e696"
"44","119-44600-00",62830.12,4441,"Arkansas","MAUMELLE","550 Edgewood Drive, Suite 590",NA,"Maumelle","72113-0000","a06c9b48a7a2b9769e5a1e3cbeaf648a",2019-11-04 12:18:13,"5dc0170546885142ca187475"
"45","105-05920-00",52015.13,4441,"Arkansas","BIGELOW","122 Front Street",NA,"Bigelow","72016-0000","3554917d0dd87242e159eaa483761f32",2019-10-10 19:42:10,"5d8bc0cb3bd9d01d21c997ed"
"46","045-02406-00",49822.16,4441,"Arkansas","FAULKNER COUNTY SHERIFF'S OFC","801 Locust Street",NA,"Conway","72034-0000","473dde1e0d39db8bd856aeae875291cf",2019-10-20 14:30:42,"5dac6f926bb61c10013e8aeb"
"47","000-U6NKH-00",44029.49,4441,"Arkansas","ARKANSAS DEPARTMENT OF ENVIRONMENTAL QUALITY","5301 Northshore Drive",NA,"North Little Rock","72118-0000","e29bf1f55827f6af0f994ea7f2540376",2020-02-19 20:59:55,"5e4da1cb9fec192813563ca5"
"48","131-38890-00",43832.28,4441,"Arkansas","LAVACA","808 W Main",NA,"Lavaca","72941-0000","6429fd608274d48b481c07204584a081",2019-11-18 20:51:47,"5dd304638ca22d24d418a03c"
"49","000-UUSFS-00",40722.28,4441,"Arkansas","FIRST ELECTRIC COOPERATIVE CORP","1000 S JP Wright Loop Road",NA,"Jacksonville","72076-0000","c3d9ad6c5032c9d62b95df0b5dc68a83",2019-10-12 19:33:32,"5da22a8cc39eed63acf7c091"
"50","105-54650-00",40220.44,4441,"Arkansas","PERRY","108 North Johnson",NA,"Perry","72125-0000","374f9a905af83837d2cdd7bade8334d3",2019-10-10 19:42:10,"5d8bc0cb3bd9d01d21c997e9"
"51","033-01EBA-00",37064.9,4441,"Arkansas","CITY OF DYER","305 North Washington Street",NA,"Dyer","72935-0000","4d7f481e43337cb403e41474f50c0f4f",2019-10-20 14:30:42,"5dac6f926bb61c10013e8aee"
"52","083-99083-00",36782.26,4441,"Arkansas","LOGAN (COUNTY)","25 W Walnut #22",NA,"Paris","72855-0000","662a3281a82c68a2fd9337f0463c34d0",2020-01-15 20:35:07,"5e1f777b90d4f74386d6ab65"
"53","000-U0416-00",35651.93,4441,"Arkansas","ARKANSAS STATE POLICE","1 State Police Plaza Dr",NA,"Little Rock","72209-0000","be96f898f176d5657070c605e446839e",2019-10-10 19:42:10,"5d9ce4512c329b6f980466eb"
"54","045-01E20-00",35014.07,4441,"Arkansas","CONWAY CORP","650 Locust",NA,"Conway","72034-0000","b540c2cd8deef0baa8f037b2e4d82666",2019-11-18 20:51:47,"5dd304638ca22d24d418a03b"
"55","033-05FA4-00",28252.45,4441,"Arkansas","PLEASANT VIEW WATER ASSN","1100 North Main",NA,"Mulberry","72947-0000","07d1dd36c09bd45d0e6c1b70dbd82e8c",2019-11-04 12:18:13,"5dc0170546885142ca187474"
"56","033-02D2E-00",25692.23,4441,"Arkansas","CRAWFORD COUNTY SHERIFF'S OFC","4235 Alma Highway",NA,"Van Buren","72956-0000","6194e7275c5ec5cfa607c444b9e58a9d",2019-12-05 20:33:54,"5de969b2711e242dc8b44845"
"57","131-13120-00",10086.29,4441,"Arkansas","CENTRAL CITY","1101 Highway 255",NA,"Central City","72941-0000","8da81b612f77815ca4e0872b5a985261",2019-11-04 12:18:13,"5dc0170546885142ca187477"
"58","119-UGIXA-00",8686.44,4441,"Arkansas","OLD RIVER DRAINAGE DISTRICT","5005 Highway 161",NA,"Scott","72142-0000","7f31df2f6da921312daa4dc44ba72943",2019-11-20 20:34:14,"5dd5a3468ca22d24d41e0e49"
"59","045-99045-00",7372.24,4441,"Arkansas","FAULKNER (COUNTY)","57 Acklin Gap Road",NA,"Conway","72032-0000","9fc9e5274411c3806a64c09b31a65e53",2019-10-10 19:42:10,"5d8bc0cb3bd9d01d21c997f1"
"60","029-U9QT0-00",4065.87,4441,"Arkansas","CONWAY COUNTY LEVEE DISTRICT #16","519 Mt. Zion Loop Rd",NA,"Morrilton","72110-0000","387ad54f12ba97ed0390bcccd45fd989",2020-01-09 15:32:40,"5e17479809e7c62f74dbdeaf"
